id,app,name,applied
1,contenttypes,0001_initial,2021-06-16 08:47:42.900456
2,auth,0001_initial,2021-06-16 08:47:42.959051
3,admin,0001_initial,2021-06-16 08:47:43.016794
4,admin,0002_logentry_remove_auto_add,2021-06-16 08:47:43.047685
5,admin,0003_logentry_add_action_flag_choices,2021-06-16 08:47:43.089595
6,contenttypes,0002_remove_content_type_name,2021-06-16 08:47:43.143460
7,auth,0002_alter_permission_name_max_length,2021-06-16 08:47:43.177626
8,auth,0003_alter_user_email_max_length,2021-06-16 08:47:43.218567
9,auth,0004_alter_user_username_opts,2021-06-16 08:47:43.257742
10,auth,0005_alter_user_last_login_null,2021-06-16 08:47:43.287667
11,auth,0006_require_contenttypes_0002,2021-06-16 08:47:43.310569
12,auth,0007_alter_validators_add_error_messages,2021-06-16 08:47:43.339495
13,auth,0008_alter_user_username_max_length,2021-06-16 08:47:43.380382
14,auth,0009_alter_user_last_name_max_length,2021-06-16 08:47:43.414291
15,auth,0010_alter_group_name_max_length,2021-06-16 08:47:43.449417
16,auth,0011_update_proxy_permissions,2021-06-16 08:47:43.488320
17,auth,0012_alter_user_first_name_max_length,2021-06-16 08:47:43.519416
18,sessions,0001_initial,2021-06-16 08:47:43.584273
19,keterangan,0001_initial,2021-06-16 09:01:14.578009
20,keterangan,0002_peta,2021-06-16 11:11:00.819553
21,keterangan,0003_peta_thumb,2021-06-17 14:29:42.240707
22,keterangan,0004_alter_peta_thumb,2021-06-17 14:54:32.315797
